Datum;Zeit;Time;Lu_Gecko - microwave(02Alex) Wirkenergie(kWh)
19.03.2024;11:24:36;2024-03-19T11:24:36+01:00;5.659
19.03.2024;11:19:36;2024-03-19T11:19:36+01:00;5.659
19.03.2024;11:14:36;2024-03-19T11:14:36+01:00;5.659
19.03.2024;11:09:36;2024-03-19T11:09:36+01:00;5.659
19.03.2024;11:04:36;2024-03-19T11:04:36+01:00;5.659
19.03.2024;10:59:36;2024-03-19T10:59:36+01:00;5.659
19.03.2024;10:54:36;2024-03-19T10:54:36+01:00;5.659
19.03.2024;10:49:36;2024-03-19T10:49:36+01:00;5.659
19.03.2024;10:44:36;2024-03-19T10:44:36+01:00;5.659
19.03.2024;10:39:36;2024-03-19T10:39:36+01:00;5.659
19.03.2024;10:34:36;2024-03-19T10:34:36+01:00;5.659
19.03.2024;10:29:36;2024-03-19T10:29:36+01:00;5.659
19.03.2024;10:24:36;2024-03-19T10:24:36+01:00;5.659
19.03.2024;10:19:36;2024-03-19T10:19:36+01:00;5.659
19.03.2024;10:14:36;2024-03-19T10:14:36+01:00;5.659
19.03.2024;10:09:36;2024-03-19T10:09:36+01:00;5.659
19.03.2024;10:04:36;2024-03-19T10:04:36+01:00;5.659
19.03.2024;09:59:36;2024-03-19T09:59:36+01:00;5.659
19.03.2024;09:54:36;2024-03-19T09:54:36+01:00;5.659
19.03.2024;09:49:36;2024-03-19T09:49:36+01:00;5.659
19.03.2024;09:44:36;2024-03-19T09:44:36+01:00;5.659
19.03.2024;09:39:36;2024-03-19T09:39:36+01:00;5.659
19.03.2024;09:34:36;2024-03-19T09:34:36+01:00;5.659
19.03.2024;09:29:36;2024-03-19T09:29:36+01:00;5.659
19.03.2024;09:24:36;2024-03-19T09:24:36+01:00;5.659
19.03.2024;09:19:36;2024-03-19T09:19:36+01:00;5.658
19.03.2024;09:14:36;2024-03-19T09:14:36+01:00;5.658
19.03.2024;09:09:36;2024-03-19T09:09:36+01:00;5.658
19.03.2024;09:04:36;2024-03-19T09:04:36+01:00;5.658
19.03.2024;08:59:36;2024-03-19T08:59:36+01:00;5.658
19.03.2024;08:54:36;2024-03-19T08:54:36+01:00;5.658
19.03.2024;08:49:36;2024-03-19T08:49:36+01:00;5.658
19.03.2024;08:44:36;2024-03-19T08:44:36+01:00;5.658
19.03.2024;08:39:36;2024-03-19T08:39:36+01:00;5.658
19.03.2024;08:34:36;2024-03-19T08:34:36+01:00;5.658
19.03.2024;08:29:36;2024-03-19T08:29:36+01:00;5.658
19.03.2024;08:24:36;2024-03-19T08:24:36+01:00;5.658
19.03.2024;08:19:36;2024-03-19T08:19:36+01:00;5.658
19.03.2024;08:14:36;2024-03-19T08:14:36+01:00;5.658
19.03.2024;08:09:36;2024-03-19T08:09:36+01:00;5.658
19.03.2024;08:04:36;2024-03-19T08:04:36+01:00;5.658
19.03.2024;07:59:36;2024-03-19T07:59:36+01:00;5.658
19.03.2024;07:54:36;2024-03-19T07:54:36+01:00;5.658
19.03.2024;07:49:36;2024-03-19T07:49:36+01:00;5.658
19.03.2024;07:44:36;2024-03-19T07:44:36+01:00;5.658
19.03.2024;07:39:36;2024-03-19T07:39:36+01:00;5.658
19.03.2024;07:34:36;2024-03-19T07:34:36+01:00;5.658
19.03.2024;07:29:36;2024-03-19T07:29:36+01:00;5.658
19.03.2024;07:24:36;2024-03-19T07:24:36+01:00;5.658
19.03.2024;07:19:36;2024-03-19T07:19:36+01:00;5.658
19.03.2024;07:14:36;2024-03-19T07:14:36+01:00;5.658
19.03.2024;07:09:36;2024-03-19T07:09:36+01:00;5.658
19.03.2024;07:04:36;2024-03-19T07:04:36+01:00;5.658
19.03.2024;06:59:36;2024-03-19T06:59:36+01:00;5.658
19.03.2024;06:54:36;2024-03-19T06:54:36+01:00;5.658
19.03.2024;06:49:36;2024-03-19T06:49:36+01:00;5.658
19.03.2024;06:44:36;2024-03-19T06:44:36+01:00;5.658
19.03.2024;06:39:36;2024-03-19T06:39:36+01:00;5.658
19.03.2024;06:34:36;2024-03-19T06:34:36+01:00;5.658
19.03.2024;06:29:36;2024-03-19T06:29:36+01:00;5.658
